"","Competition","Month","Day","against","Ground","Results","Year","Date"
"1","Prem",9,13,"Bray WanderersBray","The Ryan McBride Brandywell Stadium","0 - 0",1987,1987-09-13
"2","Prem",9,20,"WaterfordWaterford","Regional Sports Centre","1 - 3",1987,1987-09-20
"3","Prem",9,27,"Cork CityCork","The Ryan McBride Brandywell Stadium","7 - 2",1987,1987-09-27
"4","Prem",10,4,"Galway United (ex)Galway United","Terryland Park","1 - 3",1987,1987-10-04
"5","Prem",10,11,"Limerick CityLimerick City","The Ryan McBride Brandywell Stadium","5 - 0",1987,1987-10-11
"6","Prem",10,18,"St. Patrick's AthleticSt. Pats","Richmond Park","0 - 3",1987,1987-10-18
"7","Prem",10,25,"ShelbourneShels","The Ryan McBride Brandywell Stadium","0 - 0",1987,1987-10-25
"8","Prem",10,26,"Shamrock RoversShamrock R","Tallaght Stadium","1 - 2",1987,1987-10-26
"9","Prem",11,1,"BohemiansBohs","The Ryan McBride Brandywell Stadium","3 - 2",1987,1987-11-01
"10","Prem",11,8,"DundalkDundalk","Oriel Park","0 - 2",1987,1987-11-08
"11","Prem",11,15,"Sligo RoversSligo","The Showgrounds","3 - 0",1987,1987-11-15
"12","Prem",11,22,"Sligo RoversSligo","The Ryan McBride Brandywell Stadium","4 - 0",1987,1987-11-22
"13","Prem",11,29,"Bray WanderersBray","The Ryan McBride Brandywell Stadium","6 - 0",1987,1987-11-29
"14","Prem",12,6,"WaterfordWaterford","The Ryan McBride Brandywell Stadium","1 - 2",1987,1987-12-06
"15","Prem",12,13,"Cork CityCork","Turners Cross","0 - 1",1987,1987-12-13
"16","Prem",12,20,"Galway United (ex)Galway United","The Ryan McBride Brandywell Stadium","3 - 0",1987,1987-12-20
"17","Prem",12,27,"Limerick CityLimerick City","No Ground","2 - 2",1987,1987-12-27
"18","Prem",12,28,"St. Patrick's AthleticSt. Pats","The Ryan McBride Brandywell Stadium","0 - 3",1987,1987-12-28
"19","First",1,4,"Longford TownLongford","Bishopsgate","5 - 1",1987,1987-01-04
"20","First",1,11,"EMFAemfa","Buckley Park","2 - 0",1987,1987-01-11
"21","First",1,18,"Monaghan UnitedMonaghan","The Ryan McBride Brandywell Stadium","3 - 1",1987,1987-01-18
"22","First",1,25,"ShelbourneShels","Tolka Park","2 - 1",1987,1987-01-25
"23","First",2,8,"Drogheda UnitedDrogheda","The Ryan McBride Brandywell Stadium","3 - 1",1987,1987-02-08
"24","First",2,15,"Newcastlewestnewutd","The Ryan McBride Brandywell Stadium","5 - 1",1987,1987-02-15
"25","First",2,22,"Finn HarpsHarps","Finn Park","4 - 1",1987,1987-02-22
"26","FAI CUP R4",2,1,"ShelbourneShels","Harold's Cross","2 - 2",1987,1987-02-01
"27","FAI CUP R4",2,12,"ShelbourneShels","The Ryan McBride Brandywell Stadium","4 - 0",1987,1987-02-12
"28","FAI CUP R5",3,1,"Cork CityCork","Turners Cross","3 - 1",1987,1987-03-01
"29","FAI CUP QF",3,15,"BohemiansBohs","Dalymount Park","1 - 2",1987,1987-03-15
"30","LC Group C",8,23,"Finn HarpsHarps","The Ryan McBride Brandywell Stadium","2 - 1",1987,1987-08-23
"31","LC Group C",8,30,"Fanad UnitedFAN","The Ryan McBride Brandywell Stadium","2 - 3",1987,1987-08-30
"32","LC Group C",8,31,"Sligo RoversSligo","The Showgrounds","2 - 0",1987,1987-08-31
"33","Prem",1,3,"BohemiansBohs","Dalymount Park","1 - 3",1988,1988-01-03
"34","Prem",1,10,"DundalkDundalk","The Ryan McBride Brandywell Stadium","3 - 0",1988,1988-01-10
"35","Prem",1,17,"ShelbourneShels","Tolka Park","1 - 0",1988,1988-01-17
"36","Prem",1,24,"Shamrock RoversShamrock R","The Ryan McBride Brandywell Stadium","0 - 1",1988,1988-01-24
"37","Prem",1,31,"Bray WanderersBray","Carlisle Grounds","1 - 0",1988,1988-01-31
"38","Prem",2,7,"WaterfordWaterford","Regional Sports Centre","0 - 0",1988,1988-02-07
"39","Prem",2,21,"Cork CityCork","The Ryan McBride Brandywell Stadium","0 - 1",1988,1988-02-21
"40","Prem",2,28,"Galway United (ex)Galway United","Terryland Park","1 - 1",1988,1988-02-28
"41","Prem",3,13,"Limerick CityLimerick City","The Ryan McBride Brandywell Stadium","3 - 2",1988,1988-03-13
"42","Prem",3,17,"St. Patrick's AthleticSt. Pats","Richmond Park","0 - 1",1988,1988-03-17
"43","Prem",3,20,"ShelbourneShels","The Ryan McBride Brandywell Stadium","0 - 3",1988,1988-03-20
"44","Prem",4,2,"BohemiansBohs","The Ryan McBride Brandywell Stadium","0 - 1",1988,1988-04-02
"45","Prem",4,4,"DundalkDundalk","Oriel Park","2 - 3",1988,1988-04-04
"46","Prem",4,6,"Shamrock RoversShamrock R","Tallaght Stadium","3 - 1",1988,1988-04-06
"47","Prem",4,24,"Sligo RoversSligo","The Showgrounds","7 - 2",1988,1988-04-24
"48","Prem",9,4,"DundalkDundalk","The Ryan McBride Brandywell Stadium","1 - 1",1988,1988-09-04
"49","Prem",9,11,"BohemiansBohs","Dalymount Park","2 - 0",1988,1988-09-11
"50","Prem",9,18,"LimerickLimerick","Markets Field","1 - 1",1988,1988-09-18
"51","Prem",9,25,"St. Patrick's AthleticSt. Pats","The Ryan McBride Brandywell Stadium","1 - 0",1988,1988-09-25
"52","Prem",10,2,"Cork CityCork","Turners Cross","1 - 0",1988,1988-10-02
"53","Prem",10,9,"Galway UnitedGalway","The Ryan McBride Brandywell Stadium","5 - 1",1988,1988-10-09
"54","Prem",10,16,"Athlone TownAthlone","Athlone Town Stadium","0 - 1",1988,1988-10-16
"55","Prem",10,23,"WaterfordWaterford","The Ryan McBride Brandywell Stadium","2 - 0",1988,1988-10-23
"56","Prem",10,30,"ShelbourneShels","Tolka Park","5 - 0",1988,1988-10-30
"57","Prem",10,31,"Shamrock RoversShamrock R","The Ryan McBride Brandywell Stadium","1 - 1",1988,1988-10-31
"58","Prem",11,6,"Cobh RamblersCobh","The Ryan McBride Brandywell Stadium","5 - 0",1988,1988-11-06
"59","Prem",11,13,"Cobh RamblersCobh","St. Colman's Park","5 - 2",1988,1988-11-13
"60","Prem",11,20,"DundalkDundalk","Oriel Park","1 - 1",1988,1988-11-20
"61","Prem",11,27,"BohemiansBohs","The Ryan McBride Brandywell Stadium","3 - 0",1988,1988-11-27
"62","Prem",12,4,"LimerickLimerick","The Ryan McBride Brandywell Stadium","1 - 1",1988,1988-12-04
"63","Prem",12,11,"St. Patrick's AthleticSt. Pats","Richmond Park","0 - 1",1988,1988-12-11
"64","Prem",12,18,"Cork CityCork","The Ryan McBride Brandywell Stadium","4 - 2",1988,1988-12-18
"65","Prem",12,26,"Galway UnitedGalway","Eamonn Deacy Park","3 - 0",1988,1988-12-26
"66","Prem",12,28,"Athlone TownAthlone","The Ryan McBride Brandywell Stadium","3 - 0",1988,1988-12-28
"67","FAI CUP R4",2,14,"St Joseph'sSt Joseph's","The Ryan McBride Brandywell Stadium","6 - 0",1988,1988-02-14
"68","FAI CUP R5",3,6,"BohemiansBohs","The Ryan McBride Brandywell Stadium","0 - 0",1988,1988-03-06
"69","FAI CUP R5",3,10,"BohemiansBohs","Dalymount Park","4 - 1",1988,1988-03-10
"70","FAI CUP QF",3,27,"Home FarmHFM","Tolka Park","3 - 0",1988,1988-03-27
"71","FAI CUP SF",4,10,"Longford TownLongford","Abbeycartron","2 - 0",1988,1988-04-10
"72","FAI CUP SF",4,17,"Longford TownLongford","The Ryan McBride Brandywell Stadium","4 - 2",1988,1988-04-17
"73","FAI CUP F",5,1,"DundalkDundalk","Dalymount Park","0 - 1",1988,1988-05-01
"74","LC Group 3",8,14,"Finn HarpsHarps","Finn Park","0 - 0",1988,1988-08-14
"75","LC Group 3",8,18,"Fanad UnitedFAN","Tragh-a-Lough","1 - 1",1988,1988-08-18
"76","LC Group 3",8,21,"Sligo RoversSligo","The Ryan McBride Brandywell Stadium","4 - 2",1988,1988-08-21
"77","LC QF",8,28,"Athlone TownAthlone","Athlone Town Stadium","0 - 0",1988,1988-08-28
"78","LC SF",9,21,"St. Patrick's AthleticSt. Pats","The Ryan McBride Brandywell Stadium","4 - 2",1988,1988-09-21
"79","LC Final",10,13,"DundalkDundalk","Oriel Park","4 - 0",1988,1988-10-13
"80","ECWC R1",9,7,"Cardiff CityCARD","The Ryan McBride Brandywell Stadium","0 - 0",1988,1988-09-07
"81","ECWC R1",10,5,"Cardiff CityCARD","Cardiff City Stadium","0 - 4",1988,1988-10-05
"82","Prem",9,13,"Bray WanderersBray","The Ryan McBride Brandywell Stadium","0 - 0",1989,1989-09-13
"83","Prem",9,20,"WaterfordWaterford","Regional Sports Centre","1 - 3",1989,1989-09-20
"84","Prem",9,27,"Cork CityCork","The Ryan McBride Brandywell Stadium","7 - 2",1989,1989-09-27
"85","Prem",10,4,"Galway United (ex)Galway United","Terryland Park","1 - 3",1989,1989-10-04
"86","Prem",10,11,"Limerick CityLimerick City","The Ryan McBride Brandywell Stadium","5 - 0",1989,1989-10-11
"87","Prem",10,18,"St. Patrick's AthleticSt. Pats","Richmond Park","0 - 3",1989,1989-10-18
"88","Prem",10,25,"ShelbourneShels","The Ryan McBride Brandywell Stadium","0 - 0",1989,1989-10-25
"89","Prem",10,26,"Shamrock RoversShamrock R","Tallaght Stadium","1 - 2",1989,1989-10-26
"90","Prem",11,1,"BohemiansBohs","The Ryan McBride Brandywell Stadium","3 - 2",1989,1989-11-01
"91","Prem",11,8,"DundalkDundalk","Oriel Park","0 - 2",1989,1989-11-08
"92","Prem",11,15,"Sligo RoversSligo","The Showgrounds","3 - 0",1989,1989-11-15
"93","Prem",11,22,"Sligo RoversSligo","The Ryan McBride Brandywell Stadium","4 - 0",1989,1989-11-22
"94","Prem",11,29,"Bray WanderersBray","The Ryan McBride Brandywell Stadium","6 - 0",1989,1989-11-29
"95","Prem",12,6,"WaterfordWaterford","The Ryan McBride Brandywell Stadium","1 - 2",1989,1989-12-06
"96","Prem",12,13,"Cork CityCork","Turners Cross","0 - 1",1989,1989-12-13
"97","Prem",12,20,"Galway United (ex)Galway United","The Ryan McBride Brandywell Stadium","3 - 0",1989,1989-12-20
"98","Prem",12,27,"Limerick CityLimerick City","No Ground","2 - 2",1989,1989-12-27
"99","Prem",12,28,"St. Patrick's AthleticSt. Pats","The Ryan McBride Brandywell Stadium","0 - 3",1989,1989-12-28
"100","First",1,4,"Longford TownLongford","Bishopsgate","5 - 1",1989,1989-01-04
"101","First",1,11,"EMFAemfa","Buckley Park","2 - 0",1989,1989-01-11
"102","First",1,18,"Monaghan UnitedMonaghan","The Ryan McBride Brandywell Stadium","3 - 1",1989,1989-01-18
"103","First",1,25,"ShelbourneShels","Tolka Park","2 - 1",1989,1989-01-25
"104","First",2,8,"Drogheda UnitedDrogheda","The Ryan McBride Brandywell Stadium","3 - 1",1989,1989-02-08
"105","First",2,15,"Newcastlewestnewutd","The Ryan McBride Brandywell Stadium","5 - 1",1989,1989-02-15
"106","First",2,22,"Finn HarpsHarps","Finn Park","4 - 1",1989,1989-02-22
"107","FAI CUP R4",2,1,"ShelbourneShels","Harold's Cross","2 - 2",1989,1989-02-01
"108","FAI CUP R4",2,12,"ShelbourneShels","The Ryan McBride Brandywell Stadium","4 - 0",1989,1989-02-12
"109","FAI CUP R5",3,1,"Cork CityCork","Turners Cross","3 - 1",1989,1989-03-01
"110","FAI CUP QF",3,15,"BohemiansBohs","Dalymount Park","1 - 2",1989,1989-03-15
"111","LC Group C",8,23,"Finn HarpsHarps","The Ryan McBride Brandywell Stadium","2 - 1",1989,1989-08-23
"112","LC Group C",8,30,"Fanad UnitedFAN","The Ryan McBride Brandywell Stadium","2 - 3",1989,1989-08-30
"113","LC Group C",8,31,"Sligo RoversSligo","The Showgrounds","2 - 0",1989,1989-08-31
"114","Prem",1,7,"St. Patrick's AthleticSt. Pats","The Ryan McBride Brandywell Stadium","0 - 1",1990,1990-01-07
"115","Prem",1,14,"Drogheda UnitedDrogheda","United Park","0 - 2",1990,1990-01-14
"116","Prem",1,21,"BohemiansBohs","The Ryan McBride Brandywell Stadium","1 - 0",1990,1990-01-21
"117","Prem",1,28,"Athlone TownAthlone","Athlone Town Stadium","1 - 0",1990,1990-01-28
"118","Prem",1,31,"DundalkDundalk","The Ryan McBride Brandywell Stadium","0 - 0",1990,1990-01-31
"119","Prem",2,4,"ShelbourneShels","The Ryan McBride Brandywell Stadium","1 - 1",1990,1990-02-04
"120","Prem",2,11,"DundalkDundalk","Oriel Park","3 - 1",1990,1990-02-11
"121","Prem",2,18,"Shamrock RoversShamrock R","The Ryan McBride Brandywell Stadium","1 - 1",1990,1990-02-18
"122","Prem",2,25,"Cork CityCork","Turners Cross","0 - 2",1990,1990-02-25
"123","Prem",3,4,"Galway UnitedGalway","The Ryan McBride Brandywell Stadium","3 - 0",1990,1990-03-04
"124","Prem",3,18,"UCDUCD","The Ryan McBride Brandywell Stadium","3 - 0",1990,1990-03-18
"125","Prem",4,1,"St. Patrick's AthleticSt. Pats","Richmond Park","1 - 1",1990,1990-04-01
"126","Prem",4,15,"Drogheda UnitedDrogheda","The Ryan McBride Brandywell Stadium","2 - 2",1990,1990-04-15
"127","Prem",4,16,"BohemiansBohs","Dalymount Park","0 - 0",1990,1990-04-16
"128","Prem",4,29,"LimerickLimerick","The Ryan McBride Brandywell Stadium","7 - 0",1990,1990-04-29
"129","Prem",9,2,"BohemiansBohs","The Ryan McBride Brandywell Stadium","1 - 1",1990,1990-09-02
"130","Prem",9,9,"Sligo RoversSligo","The Showgrounds","0 - 0",1990,1990-09-09
"131","Prem",9,16,"St. Patrick's AthleticSt. Pats","The Ryan McBride Brandywell Stadium","0 - 1",1990,1990-09-16
"132","Prem",9,23,"WaterfordWaterford","Regional Sports Centre","2 - 0",1990,1990-09-23
"133","Prem",9,29,"Galway United (ex)Galway United","Terryland Park","1 - 3",1990,1990-09-29
"134","Prem",10,7,"Cork CityCork","The Ryan McBride Brandywell Stadium","0 - 0",1990,1990-10-07
"135","Prem",10,14,"Shamrock RoversShamrock R","Tallaght Stadium","1 - 1",1990,1990-10-14
"136","Prem",10,21,"DundalkDundalk","The Ryan McBride Brandywell Stadium","0 - 1",1990,1990-10-21
"137","Prem",10,26,"ShelbourneShels","Tolka Park","0 - 1",1990,1990-10-26
"138","Prem",11,3,"Athlone TownAthlone","The Ryan McBride Brandywell Stadium","5 - 0",1990,1990-11-03
"139","Prem",11,11,"Limerick CityLimerick City","No Ground","4 - 0",1990,1990-11-11
"140","Prem",11,18,"Limerick CityLimerick City","The Ryan McBride Brandywell Stadium","1 - 0",1990,1990-11-18
"141","Prem",11,25,"BohemiansBohs","Dalymount Park","0 - 0",1990,1990-11-25
"142","Prem",12,1,"Sligo RoversSligo","The Ryan McBride Brandywell Stadium","1 - 1",1990,1990-12-01
"143","Prem",12,9,"St. Patrick's AthleticSt. Pats","Richmond Park","0 - 1",1990,1990-12-09
"144","Prem",12,16,"WaterfordWaterford","The Ryan McBride Brandywell Stadium","6 - 2",1990,1990-12-16
"145","Prem",12,26,"Galway United (ex)Galway United","The Ryan McBride Brandywell Stadium","6 - 1",1990,1990-12-26
"146","FAI CUP R1",3,11,"Longford TownLongford","The Ryan McBride Brandywell Stadium","1 - 0",1990,1990-03-11
"147","FAI CUP R2",3,25,"UCDUCD","The Ryan McBride Brandywell Stadium","2 - 0",1990,1990-03-25
"148","FAI CUP QF",4,8,"St. Patrick's AthleticSt. Pats","The Ryan McBride Brandywell Stadium","1 - 1",1990,1990-04-08
"149","FAI CUP QF",4,11,"St. Patrick's AthleticSt. Pats","Harold's Cross","1 - 1",1990,1990-04-11
"150","FAI CUP SF",4,22,"Bray WanderersBray","Carlisle Grounds","1 - 2",1990,1990-04-22
"151","Prem",1,1,"Cork CityCork","Turners Cross","1 - 1",1991,1991-01-01
"152","Prem",1,6,"Shamrock RoversShamrock R","The Ryan McBride Brandywell Stadium","0 - 0",1991,1991-01-06
"153","Prem",1,13,"DundalkDundalk","Oriel Park","0 - 1",1991,1991-01-13
"154","Prem",1,20,"ShelbourneShels","The Ryan McBride Brandywell Stadium","2 - 0",1991,1991-01-20
"155","Prem",1,27,"Athlone TownAthlone","Athlone Town Stadium","4 - 1",1991,1991-01-27
